trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
241,2,AK_10002,19:58:00,19:58:00,,0,0,50322.86,0
241,3,AK_10003,20:40:00,20:40:00,,0,0,107897.35,0
241,4,AK_10004,20:55:00,20:55:00,,0,0,131850.85,0
241,5,AK_10005,21:15:00,21:15:00,,0,0,170950.23,0
241,6,AK_10006,21:45:00,21:45:00,,0,0,214303.90,0
233,0,AK_10000,11:28:00,11:28:00,,0,0,0.00,0
233,1,AK_10001,11:51:00,11:51:00,,0,0,22035.71,0
233,2,AK_10002,12:10:00,12:10:00,,0,0,50322.86,0
233,3,AK_10003,12:54:00,12:54:00,,0,0,107897.35,0
233,4,AK_10004,13:09:00,13:09:00,,0,0,131850.85,0
233,5,AK_10005,13:29:00,13:29:00,,0,0,170950.23,0
233,6,AK_10006,13:59:00,13:59:00,,0,0,214303.90,0
243,0,AK_10000,20:55:00,20:55:00,,0,0,0.00,0
243,1,AK_10001,21:19:00,21:19:00,,0,0,22035.71,0
243,2,AK_10002,21:38:00,21:38:00,,0,0,50322.86,0
243,3,AK_10003,22:20:00,22:20:00,,0,0,107897.35,0
243,4,AK_10004,22:36:00,22:36:00,,0,0,131850.85,0
243,5,AK_10005,22:56:00,22:56:00,,0,0,170950.23,0
243,6,AK_10006,23:25:00,23:25:00,,0,0,214303.90,0
255,0,AK_10000,14:20:00,14:20:00,,0,0,0.00,0
255,1,AK_10001,14:44:00,14:44:00,,0,0,22035.71,0
255,2,AK_10002,15:03:00,15:03:00,,0,0,50322.86,0
255,3,AK_10003,15:45:00,15:45:00,,0,0,107897.35,0
255,4,AK_10004,16:00:00,16:00:00,,0,0,131850.85,0
255,5,AK_10005,16:20:00,16:20:00,,0,0,170950.23,0
255,6,AK_10006,16:50:00,16:50:00,,0,0,214303.90,0
253,0,AK_10000,17:06:00,17:06:00,,0,0,0.00,0
253,1,AK_10001,17:29:00,17:29:00,,0,0,22035.71,0
253,2,AK_10002,17:48:00,17:48:00,,0,0,50322.86,0
253,3,AK_10003,18:30:00,18:30:00,,0,0,107897.35,0
253,4,AK_10004,18:45:00,18:45:00,,0,0,131850.85,0
253,5,AK_10005,19:05:00,19:05:00,,0,0,170950.23,0
253,6,AK_10006,19:35:00,19:35:00,,0,0,214303.90,0
259,0,AK_10000,21:26:00,21:26:00,,0,0,0.00,0
259,1,AK_10001,21:49:00,21:49:00,,0,0,22035.71,0
259,2,AK_10002,22:08:00,22:08:00,,0,0,50322.86,0
259,3,AK_10003,22:50:00,22:50:00,,0,0,107897.35,0
259,4,AK_10004,23:05:00,23:05:00,,0,0,131850.85,0
259,5,AK_10005,23:26:00,23:26:00,,0,0,170950.23,0
259,6,AK_10006,23:55:00,23:55:00,,0,0,214303.90,0
234,0,AK_10006,07:00:00,07:00:00,,0,0,0.00,0
234,1,AK_10005,07:22:00,07:22:00,,0,0,43353.68,0
234,2,AK_10004,07:44:00,07:44:00,,0,0,82453.06,0
234,3,AK_10000,09:20:00,09:20:00,,0,0,212783.23,0
242,0,AK_10006,15:15:00,15:15:00,,,,0.00,0
242,1,AK_10005,15:36:00,15:36:00,,,,43353.68,0
242,2,AK_10004,15:57:00,15:57:00,,,,82453.06,0
242,3,AK_10003,16:15:00,16:15:00,,,,106406.56,0
242,4,AK_10002,16:55:00,16:55:00,,,,163981.05,0
242,5,AK_10001,17:16:00,17:16:00,,,,192268.20,0
242,6,AK_10000,17:48:00,17:48:00,,,,214303.90,0
236,0,AK_10006,08:25:00,08:25:00,,,,0.00,0
236,1,AK_10005,08:47:00,08:47:00,,,,43353.68,0
236,2,AK_10004,09:09:00,09:09:00,,,,82453.06,0
236,3,AK_10003,09:20:00,09:20:00,,,,106406.56,0
236,4,AK_10002,09:59:00,09:59:00,,,,163981.05,0
236,5,AK_10001,10:21:00,10:21:00,,,,192268.20,0
236,6,AK_10000,10:50:00,10:50:00,,,,214303.90,0
237,0,AK_10000,16:40:00,16:40:00,,0,0,0.00,0
237,1,AK_10004,18:11:00,18:11:00,,0,0,130330.17,0
237,2,AK_10005,18:32:00,18:32:00,,0,0,169429.55,0
237,3,AK_10006,19:00:00,19:00:00,,0,0,212783.23,0
239,0,AK_10000,17:47:00,17:47:00,,,,0.00,0
239,1,AK_10002,18:32:00,18:32:00,,,,49814.26,0
239,2,AK_10003,19:22:00,19:22:00,,,,107388.75,0
239,3,AK_10004,19:37:00,19:37:00,,,,131342.25,0
239,4,AK_10005,19:57:00,19:57:00,,,,170441.63,0
239,5,AK_10006,20:20:00,20:20:00,,,,213795.31,0
244,0,AK_10006,16:20:00,16:20:00,,0,0,0.00,0
244,1,AK_10005,16:41:00,16:41:00,,0,0,43353.68,0
244,2,AK_10004,17:02:00,17:02:00,,0,0,82453.06,0
244,3,AK_10003,17:25:00,17:25:00,,0,0,106406.56,0
244,4,AK_10002,18:05:00,18:05:00,,0,0,163981.05,0
